id;nombres;apellidos;correo;nro_celular;fecha_contrato;salario;comision_porcentaje
1;overriding Account bandwidth;Artesanal;overriding;Pequeño;2023-02-10T00:51:24;60312;56071
2;Hungria Director Rupiah;objetos Fantástico;Palladium bleeding-edge;Madrid Bangladesh Borders;2023-02-10T00:01:37;37023;85068
3;Aragón;Productor Gris;Comunidad XSS Granito;SSL;2023-02-10T14:23:43;33379;86035
4;array Videojuegos;Refinado;la enhance;sistémica;2023-02-10T03:57:08;53374;36812
5;Implementado Bicicleta Gris;Guapo Avon Morado;mano;Dinánmico Informática Normas;2023-02-10T17:10:19;89419;98928
6;Producto copying;Rioja deliver Barbados;holística Avon;Agente Algodón dynamic;2023-02-10T17:28:51;34218;25126
7;Madera Compatible;Loan Práctico quantify;Granito Palladium;functionalities Chalet;2023-02-10T11:41:07;46301;81024
8;Bedfordshire;Savings Grupo Portugal;alarm encriptar Rojo;Madera web;2023-02-10T00:31:22;13403;51494
9;extensible;Producto multitarea synthesize;Morado Marketing;Partida;2023-02-10T11:00:23;20493;92441
10;viral payment Bebes;withdrawal Seychelles Optimizado;Acero;Torrente Queso;2023-02-10T18:13:30;24887;29416
